price,number_of_reviews,minimum_nights,reviews_per_month,availability_365
55.0,1.0,2.0,0.01,0.0
250.0,14.0,3.0,0.13,189.0
249.0,2.0,3.0,0.02,60.0
,,,,
,,,,
,,,,
115.0,5.0,1.5,0.045,123.0
,,,,
,,,,
199.5,17.0,3.5,0.15000000000000002,0.0
162.5,1.0,4.5,0.01,90.5
,,,,
,,,,
,,,,
65.0,2.0,7.0,0.02,0.0
137.5,4.0,1.0,0.045,64.5
107.5,1.0,17.0,0.01,170.5
186.66666666666666,11.0,15.666666666666666,0.11,109.33333333333333
240.71428571428572,6.142857142857143,8.571428571428571,0.06285714285714286,208.42857142857142
200.0,1.0,27.0,0.01,0.0
71.66666666666667,24.0,37.333333333333336,0.21666666666666667,265.3333333333333
103.25,3.75,5.25,0.042499999999999996,148.75
173.4,1.6,5.6,0.018,91.4
,,,,
211.5,6.5,17.0,0.08,33.5
201.25,2.75,10.5,0.03,162.5
157.0,7.0,6.0,0.07333333333333333,144.83333333333334
147.25,9.75,24.0,0.1125,146.0
148.33333333333334,3.6666666666666665,5.0,0.043333333333333335,70.0
87.5,1.0,185.0,0.01,182.5
681.6666666666666,2.888888888888889,31.666666666666668,0.035555555555555556,112.77777777777777
247.5,8.0,23.5,0.0925,268.0
89.8,4.2,10.2,0.052000000000000005,146.0
119.5,9.25,2.0,0.10750000000000001,0.0
153.63636363636363,3.727272727272727,6.181818181818182,0.045454545454545456,87.45454545454545
47.5,12.5,2.0,0.18,96.5
45.0,1.0,4.0,0.02,0.0
117.8125,8.0,4.25,0.10125,31.125
180.76923076923077,6.0,4.230769230769231,0.07153846153846154,52.46153846153846
199.75,5.6875,9.0,0.073125,83.4375
156.44444444444446,6.666666666666667,16.77777777777778,0.09,62.55555555555556
165.97368421052633,2.5789473684210527,10.078947368421053,0.03894736842105263,63.81578947368421
186.13333333333333,2.7333333333333334,4.3,0.042,114.86666666666666
164.34375,5.8125,22.78125,0.0796875,79.40625
130.53333333333333,3.3333333333333335,88.8,0.04533333333333334,48.666666666666664
