price,number_of_reviews,minimum_nights,reviews_per_month,availability_365
125.89473684210526,7.979757085020243,5.510121457489879,0.20259109311740892,31.453441295546558
155.51929824561404,9.796491228070176,6.3087719298245615,0.2374385964912281,36.203508771929826
112.20413436692506,7.888888888888889,6.3023255813953485,0.20007751937984497,37.71059431524548
133.49725274725276,7.956043956043956,5.269230769230769,0.21714285714285717,56.57692307692308
123.56603773584905,8.767295597484276,5.952830188679245,0.240125786163522,54.66981132075472
134.58964143426294,8.394422310756973,6.374501992031872,0.2399601593625498,32.32669322709163
148.81218274111674,11.467005076142131,6.241116751269035,0.26901015228426395,43.93654822335025
134.7518115942029,10.31159420289855,8.608695652173912,0.2630978260869565,40.42391304347826
111.1830985915493,8.654929577464788,9.169014084507042,0.28957746478873236,41.070422535211264
156.31578947368422,10.588516746411484,10.588516746411484,0.3264114832535885,62.248803827751196
119.43769968051119,11.1629392971246,10.977635782747603,0.34198083067092655,52.3961661341853
130.0648379052369,9.728179551122194,8.144638403990024,0.3077556109725686,70.59102244389027
131.86387434554973,12.992146596858639,11.997382198952879,0.398717277486911,64.71989528795811
127.77865612648222,10.689723320158103,9.4901185770751,0.35468379446640314,72.85770750988142
139.04941860465115,10.48546511627907,11.306686046511627,0.3389389534883721,79.40988372093024
145.26141732283463,13.105511811023622,8.05984251968504,0.4169606299212598,95.07244094488189
134.30112044817926,12.554621848739496,7.5210084033613445,0.45053221288515405,121.5266106442577
139.60535714285714,13.76607142857143,8.721428571428572,0.5166607142857143,86.93392857142857
160.01162790697674,14.001057082452432,8.214587737843551,0.5315116279069767,88.22410147991543
140.55625,14.409722222222221,7.617361111111111,0.5501180555555555,89.09722222222223
145.6127659574468,15.351063829787234,9.38723404255319,0.6587659574468085,106.14255319148936
136.2439024390244,13.789024390243902,10.297560975609755,0.6548048780487805,117.3219512195122
143.21153846153845,17.052197802197803,7.781593406593407,0.7517307692307692,121.7293956043956
139.60189445196212,23.400541271989173,7.454397834912044,1.0527198917456022,152.25385656292286
141.66965703397904,49.187599237853284,3.808431248015243,2.2395855827246747,155.57788186725944
144.4878306878307,51.484021164021165,2.6956613756613756,3.156764021164021,151.4336507936508
